深圳欢乐谷,6
深圳北站,519
欢乐谷,1062
世界之窗,1063
深圳仙湖植物园,1067
锦绣中华·中国民俗文化村,1594
坣岗荔枝公园,4904
大梅沙海滨公园,4905
东部华侨城,4906
凤凰山森林公园,4910
小梅沙度假村,5532
欢乐海岸,8493
西丽动物园,8520
莲花山公园,8522
梧桐山,8528
杨梅坑,9362
红树林公园,10107
荔香公园,18343
深圳海上世界,18346
广州长隆,8
广州站,512
南昆山生态旅游区,1050
南昆山温泉大观园,1074
西樵山风景名胜区,1057
李小龙乐园,4884
圆明新园,1059
白莲洞公园,4898
中山詹园,1060
中山市火车站,6118
塘口立园,1061
锦江温泉旅游度假区,1082
曹溪温泉假日度假村,1073
风度名城,4927
威尼国际广场,4929
肇庆星湖风景名胜区,1087
海陵岛大角湾风景名胜区,1101
汕尾玄武山旅游区,1187
玄武山旅游区,4855
礐石风景名胜区,1188
南澳岛生态旅游区,1230
忠信人民广场,4856
揭阳潮汕国际机场,4859
榕江西湖公园,4991
兆康时代广场,4864
忠信广场,4865
金沙湾观海长廊,4870
荣基国际广场,4871
罗定人民体育场,4881
同富商业中心,4882
铜锣湾广场,4888
清远站,4892
绿岛山庄,4989
潮州西湖,4990
虎门站,5328
威远炮台,5329
三亚凤凰国际机场,514
三亚站,515
海口东站,516
海口美兰国际机场,517
兴隆热带植物园,1092
石梅湾,5359
分界洲岛旅游区,1094
南湾猴岛生态旅游景区,1119
雅居乐海南清水湾,5360
呀诺达雨林文化旅游区,1639
槟榔谷黎苗文化旅游区,5651
乐东商业步行街,5284
金坡广场,5285
商贸购物广场,5286
凤凰商业步行街,5287
南昌北站,524
南昌站,525
龙湾温泉度假村,1176
庐山风景区,1179
瑶里古镇风景区,1214
景德镇古窑民俗博览区,1215
三清山风景区,1227
卧龙谷,1228
仙女湖景区,1234
井冈山风景名胜区,1265
明月山温泉风景名胜区,1280
天沐江西明月山温泉度假村,1281
龙虎山地质公园,1686
西安站,535
西安咸阳国际机场,627
乾陵博物馆,1002
延安革命纪念馆,1003
枣园革命旧址,1004
华山风景名胜区,1009
法门寺法门寺旅游区,1679
金丝峡景区,5649
太原站,542
太原武宿国际机场,555
王家大院,982
绵山风景名胜区,1145
普救寺,1006
解州关帝庙,1007
天下第一门,1134
黄河壶口瀑布,1626
山西应县木塔景区,1398
五台山风景区,1524
云冈石窟,1550
恒山风景区,1562
皇城相府生态文化旅游区,1572
呼和浩特东站,543
呼和浩特白塔国际机场,544
响沙湾旅游景区,1108
水洞沟文化遗址,5664
广宗寺,1117
喀喇沁亲王府,1381
阿斯哈图花岗岩石林园区,1560
呼和诺尔旅游景区,1408
满洲里套娃广场,1410
格根塔拉草原旅游区,1425
阿尔山海神圣泉旅游度假区,1492
大青沟,1495
维信国际高尔夫度假村,1605
乌海湖,5356
乌海植物园,5497
兰州站,546
兰州中川机场,553
拉卜楞寺,940
冶力关风景区,1631
嘉峪关长城文化旅游景区,944
鸣沙山月牙泉风景名胜区,945
阳关景区,1681
松鸣岩风景名胜区,947
万象洞,948
官鹅沟自然风景区,1142
西狭颂景区,1154
大佛寺,960
武威沙漠公园,961
武威文庙,962
神州荒漠野生动物园,963
景泰黄河石林风景旅游区,964
麦积山风景区,1010
贵清山旅游风景区,1140
遮阳山旅游风景区,1161
乌鲁木齐地窝堡国际机场,549
乌鲁木齐站,550
龟兹绿洲生态园,934
库车原世袭回部亲王府,1152
金沙滩旅游度假区,935
天山天池风景区,936
新疆兵团军垦博物馆,953
