440900,茂名
450100,南宁
640100,银川
654000,伊犁
440800,湛江
810000,香港
460200,三亚
650100,乌鲁木齐
430400,衡阳
440500,汕头
360700,赣州
350600,漳州
460100,海口
530100,昆明
450200,柳州
150600,鄂尔多斯
610100,西安
360100,南昌
511300,南充
510700,绵阳
630100,西宁
410300,洛阳
610400,咸阳
320700,连云港
441800,清远
341100,滁州
371400,德州
330300,温州
321100,镇江
410700,新乡
450300,桂林
150100,呼和浩特
110000,北京
620100,兰州
440100,广州
520100,贵阳
441300,惠州
330700,金华
130200,唐山
500000,重庆
440300,深圳
420100,武汉
350100,福州
440700,江门
130400,邯郸
441200,肇庆
370700,潍坊
430100,长沙
510600,德阳
410100,郑州
510100,成都
411300,南阳
320300,徐州
330500,湖州
320600,南通
130700,张家口
350200,厦门
340100,合肥
321000,扬州
370800,济宁
140200,大同
440400,珠海
440600,佛山
321200,泰州
140100,太原
330200,宁波
320100,南京
320900,盐城
340200,芜湖
131000,廊坊
230100,哈尔滨
442000,中山
320400,常州
130600,保定
331000,台州
210100,沈阳
350500,泉州
130300,秦皇岛
130500,邢台
210200,大连
330100,杭州
330400,嘉兴
320800,淮安
370200,青岛
370100,济南
370900,泰安
370600,烟台
370300,淄博
310000,上海
321300,宿迁
371300,临沂
440200,韶关
130900,沧州
330600,绍兴
120000,天津
320200,无锡
320500,苏州
220100,长春
441900,东莞
130100,石家庄
